key,role,champion_id,in_lane,in_lane_text,win_rate
MiddleAhri,Middle,Ahri,48.85,Bad Early Game,49.94166667
MiddleYone,Middle,Yone,49.28571429,Bad Early Game,51.04
JungleFiddlesticks,Jungle,Fiddlesticks,49.34333333,Bad Early Game,51.9
MiddleLeBlanc,Middle,LeBlanc,49.39714286,Bad Early Game,49.23714286
ADCZiggs,ADC,Ziggs,49.62631579,Bad Early Game,50.87894737
MiddleDiana,Middle,Diana,49.64210526,Bad Early Game,50.03157895
MiddleViktor,Middle,Viktor,49.91034483,Bad Early Game,53.30344828
TopYorick,Top,Yorick,49.98666667,Bad Early Game,48.86666667
ADCSamira,ADC,Samira,50.07,Good Early Game,48.92
TopJax,Top,Jax,50.13235294,Good Early Game,51.46470588
JungleViego,Jungle,Viego,50.2037037,Good Early Game,45.23703704
JungleShaco,Jungle,Shaco,50.23103448,Good Early Game,51.31034483
SupportShaco,Support,Shaco,50.23333333,Good Early Game,51.66666667
SupportYuumi,Support,Yuumi,50.36666667,Good Early Game,50.21851852
TopWukong,Top,Wukong,50.43846154,Good Early Game,52.19615385
MiddleSyndra,Middle,Syndra,50.57941176,Good Early Game,47.07352941
TopTeemo,Top,Teemo,50.63939394,Good Early Game,50.63333333
SupportTrundle,Support,Trundle,50.69090909,Good Early Game,49.7
TopKled,Top,Kled,50.71428571,Good Early Game,50.34285714
ADCTristana,ADC,Tristana,50.78421053,Good Early Game,51.06842105
TopVolibear,Top,Volibear,50.79375,Good Early Game,51.7375
SupportKarma,Support,Karma,50.81481481,Good Early Game,46.51481481
SupportMorgana,Support,Morgana,51.09259259,Good Early Game,48.62962963
MiddleTalon,Middle,Talon,51.31481481,Good Early Game,53.10740741
MiddleCassiopeia,Middle,Cassiopeia,51.68636364,Good Early Game,51.23181818
MiddleLucian,Middle,Lucian,51.7625,Good Early Game,49.0375
ADCSivir,ADC,Sivir,51.83333333,Good Early Game,49.80555556
JungleKindred,Jungle,Kindred,51.89583333,Good Early Game,47.57916667
JungleLillia,Jungle,Lillia,51.91764706,Good Early Game,49.02941176
ADCJhin,ADC,Jhin,51.91904762,Good Early Game,51.71904762
TopRiven,Top,Riven,52.12647059,Good Early Game,51.22352941
TopGaren,Top,Garen,52.14666667,Good Early Game,50.62
JungleEkko,Jungle,Ekko,52.16333333,Good Early Game,49.98666667
MiddleEkko,Middle,Ekko,52.24444444,Good Early Game,51.46666667
JungleNidalee,Jungle,Nidalee,52.30769231,Good Early Game,45.45769231
JungleEvelynn,Jungle,Evelynn,52.36666667,Good Early Game,48.63333333
ADCMiss_Fortune,ADC,Miss Fortune,52.37777778,Good Early Game,50.31111111
JungleKayn,Jungle,Kayn,52.57666667,Good Early Game,51.31333333
TopSett,Top,Sett,52.93714286,Good Early Game,50.40857143
ADCVarus,ADC,Varus,53.05263158,Good Early Game,48.09473684
JungleKha'Zix,Jungle,Kha'Zix,53.37586207,Good Early Game,52.16551724
TopDarius,Top,Darius,53.60294118,Good Early Game,50.72941176
ADCCaitlyn,ADC,Caitlyn,53.67368421,Good Early Game,49.82631579
MiddleRyze,Middle,Ryze,53.7,Good Early Game,43.5875
TopDr._Mundo,Top,Dr. Mundo,53.80740741,Good Early Game,50.8
JungleRek'Sai,Jungle,Rek'Sai,53.87142857,Good Early Game,50.24285714
MiddleAnivia,Middle,Anivia,54.04827586,Good Early Game,50.72068966
SupportSett,Support,Sett,54.35,Good Early Game,46.53
SupportSwain,Support,Swain,54.715,Good Early Game,48.37
ADCXayah,ADC,Xayah,54.87,Good Early Game,47.275
MiddleVladimir,Middle,Vladimir,54.915625,Good Early Game,51.965625
TopFiora,Top,Fiora,55,Good Early Game,51.26176471
MiddleAkshan,Middle,Akshan,55.12352941,Good Early Game,52.79705882
SupportBard,Support,Bard,55.24166667,Good Early Game,53.18333333
JungleDiana,Jungle,Diana,55.31923077,Good Early Game,46.16923077
MiddleGraves,Middle,Graves,55.53333333,Good Early Game,50.04583333
SupportLux,Support,Lux,55.60384615,Good Early Game,49.73846154
SupportBrand,Support,Brand,55.67307692,Good Early Game,48.09615385
TopGnar,Top,Gnar,55.84333333,Good Early Game,48.65666667
TopIrelia,Top,Irelia,56.15833333,Good Early Game,50.83888889
TopRenekton,Top,Renekton,56.19677419,Good Early Game,46.32580645
ADCLucian,ADC,Lucian,56.28421053,Good Early Game,48.05263158
MiddleYasuo,Middle,Yasuo,56.77714286,Good Early Game,51.81142857
SupportZilean,Support,Zilean,56.90416667,Good Early Game,50.85416667
TopAatrox,Top,Aatrox,56.9125,Good Early Game,51.30625
JungleGraves,Jungle,Graves,57.08928571,Good Early Game,48.975
SupportPantheon,Support,Pantheon,57.13076923,Good Early Game,46.42307692
SupportZyra,Support,Zyra,57.35769231,Good Early Game,52.18461538
JungleNocturne,Jungle,Nocturne,57.44230769,Good Early Game,51.36538462
JungleRumble,Jungle,Rumble,57.5,Good Early Game,42.5
JungleUdyr,Jungle,Udyr,58.18333333,Good Early Game,47.41666667
TopTryndamere,Top,Tryndamere,58.49642857,Good Early Game,48.675
JungleMaster_Yi,Jungle,Master Yi,58.54137931,Good Early Game,50.22758621
JungleHecarim,Jungle,Hecarim,58.7125,Good Early Game,49.14583333
MiddleZed,Middle,Zed,59.06764706,Good Early Game,49.67941176
ADCDraven,ADC,Draven,59.07,Good Early Game,52.355
MiddleIrelia,Middle,Irelia,59.25757576,Good Early Game,49.16666667
JungleShyvana,Jungle,Shyvana,59.51764706,Good Early Game,51.93529412
JungleKarthus,Jungle,Karthus,59.64705882,Good Early Game,48.44117647
JungleRengar,Jungle,Rengar,60.05217391,Very Good Early Game,49.05217391
TopMordekaiser,Top,Mordekaiser,60.20882353,Very Good Early Game,50.97058824
JungleOlaf,Jungle,Olaf,60.32666667,Very Good Early Game,46.42666667
ADCYasuo,ADC,Yasuo,60.41111111,Very Good Early Game,51.33333333
SupportVel'Koz,Support,Vel'Koz,60.56,Very Good Early Game,46.94
SupportSenna,Support,Senna,60.73703704,Very Good Early Game,48.19259259
TopIllaoi,Top,Illaoi,60.76923077,Very Good Early Game,49.63076923
SupportPyke,Support,Pyke,60.95,Very Good Early Game,49.00384615
TopTahm_Kench,Top,Tahm Kench,61.10540541,Very Good Early Game,50.36756757
SupportAshe,Support,Ashe,61.15,Very Good Early Game,50.4
SupportXerath,Support,Xerath,65.576,Very Good Early Game,50.048
SupportVeigar,Support,Veigar,67.6,Very Good Early Game,52.9
TopSinged,Top,Singed,42.52105263,Bad Early Game,51.21052632
MiddleAzir,Middle,Azir,50.0,Good Early Game,50.0
